Date,Store Number,Foot Traffic,Number of Visitors
2022-1-1,1,13131,992
2022-1-1,50,13182,1118
2022-1-1,27,13917,922
2022-1-1,70,13710,1327
2022-1-1,65,11506,1239
2022-1-1,21,9482,845
2022-1-1,47,9470,988
2022-1-1,24,7353,619
2022-1-1,3,11230,966
2022-1-1,52,12842,1358
2022-1-1,29,12209,1018
2022-1-1,67,14470,1565
2022-1-1,9,12496,1340
2022-1-1,58,10978,1054
2022-1-1,35,10167,993
2022-1-1,6,12913,1245
2022-1-1,55,11228,1019
2022-1-1,32,9728,808
2022-1-1,22,9640,741
2022-1-1,48,8711,641
2022-1-1,8,9784,647
2022-1-1,57,11818,924
2022-1-1,34,11399,1105
2022-1-1,12,8932,724
2022-1-1,61,9912,698
2022-1-1,38,10592,846
2022-1-1,11,9047,660
2022-1-1,60,9367,987
2022-1-1,37,9804,821
2022-1-1,5,10689,1005
2022-1-1,54,11105,826
2022-1-1,31,10961,1042
2022-1-1,69,12912,1296
2022-1-1,17,8159,645
2022-1-1,43,10735,1165
2022-1-1,7,12028,1046
2022-1-1,56,12125,1150
2022-1-1,33,12158,873
2022-1-1,13,10750,1088
2022-1-1,62,10025,858
2022-1-1,39,8373,801
2022-1-1,16,10090,978
2022-1-1,42,8852,778
2022-1-1,14,9956,765
2022-1-1,63,10854,980
2022-1-1,40,9865,1058
2022-1-1,10,11207,1094
2022-1-1,59,11643,1214
2022-1-1,36,10968,759
2022-1-1,25,7041,616
2022-1-1,19,7881,560
2022-1-1,45,7743,746
2022-1-1,4,12010,889
2022-1-1,53,14440,1547
2022-1-1,30,13657,1202
2022-1-1,68,11966,1180
2022-1-1,18,10941,1077
2022-1-1,44,8650,796
2022-1-1,15,10938,997
2022-1-1,64,10541,1129
2022-1-1,41,8154,785
2022-1-1,23,8972,869
2022-1-1,49,7795,569
2022-1-1,2,11854,1235
2022-1-1,51,12879,1269
2022-1-1,28,12049,916
2022-1-1,66,11070,915
2022-1-1,20,7724,546
2022-1-1,46,7968,773
2022-1-1,26,6843,676
2022-1-2,1,26505,1821
2022-1-2,50,26223,2445
2022-1-2,27,29269,3192
2022-1-2,70,25934,2561
2022-1-2,65,28418,2834
2022-1-2,21,17045,1153
2022-1-2,47,19422,1761
2022-1-2,24,14863,1274
2022-1-2,3,22906,1875
2022-1-2,52,29547,2594
2022-1-2,29,24956,2434
2022-1-2,67,24640,2053
2022-1-2,9,22092,2237
2022-1-2,58,21452,2211
2022-1-2,35,26593,2373
2022-1-2,6,25216,2325
2022-1-2,55,24637,2621
2022-1-2,32,19771,1368
2022-1-2,22,20574,1986
2022-1-2,48,20087,2100
2022-1-2,8,20571,1376
2022-1-2,57,24373,2033
2022-1-2,34,21058,1397
2022-1-2,12,19303,1608
2022-1-2,61,21653,2338
2022-1-2,38,17538,1546
2022-1-2,11,22451,1498
2022-1-2,60,23393,2347
2022-1-2,37,22406,2070
2022-1-2,5,25056,1668
2022-1-2,54,25916,2706
2022-1-2,31,26881,1777
2022-1-2,69,29320,2941
2022-1-2,17,19656,1891
2022-1-2,43,19487,1514
2022-1-2,7,23349,1750
2022-1-2,56,24955,2200
2022-1-2,33,21623,1715
2022-1-2,13,17496,1477
2022-1-2,62,23244,1919
2022-1-2,39,23925,2202
2022-1-2,16,18424,1815
2022-1-2,42,21990,1666
2022-1-2,14,20603,1598
2022-1-2,63,22831,2290
2022-1-2,40,20052,1417
2022-1-2,10,24801,2521
2022-1-2,59,23146,1816
2022-1-2,36,23813,2089
2022-1-2,25,16695,1530
2022-1-2,19,15464,1245
2022-1-2,45,16772,1729
2022-1-2,4,30663,2359
2022-1-2,53,30402,2302
2022-1-2,30,24161,2206
2022-1-2,68,30474,3040
2022-1-2,18,22065,1532
2022-1-2,44,20895,1957
2022-1-2,15,17098,1557
2022-1-2,64,20863,1594
2022-1-2,41,21976,1541
2022-1-2,23,19472,2062
2022-1-2,49,20344,1872
2022-1-2,2,23847,1582
2022-1-2,51,23233,1601
2022-1-2,28,28546,2786
2022-1-2,66,25039,2493
2022-1-2,20,20208,1427
2022-1-2,46,17257,1352
2022-1-2,26,19664,1368
2022-1-3,1,23423,2382
2022-1-3,50,20799,1947
2022-1-3,27,21558,1899
2022-1-3,70,28535,3039
2022-1-3,65,22634,2386
2022-1-3,21,17089,1585
2022-1-3,47,15442,1353
