Date,Product Category,Store Number,Daily Sales
2021-1-1,A,1,29105
2021-1-1,B,1,14552
2021-1-1,C,1,12022
2021-1-1,D,1,7593
2021-1-1,A,2,26195
2021-1-1,B,2,13097
2021-1-1,C,2,10820
2021-1-1,D,2,6833
2021-1-1,A,3,26195
2021-1-1,B,3,13097
2021-1-1,C,3,10820
2021-1-1,D,3,6833
2021-1-1,A,4,26195
2021-1-1,B,4,13097
2021-1-1,C,4,10820
2021-1-1,D,4,6833
2021-1-1,A,5,26195
2021-1-1,B,5,13097
2021-1-1,C,5,10820
2021-1-1,D,5,6833
2021-1-1,A,6,23284
2021-1-1,B,6,11642
2021-1-1,C,6,9617
2021-1-1,D,6,6074
2021-1-1,A,7,23284
2021-1-1,B,7,11642
2021-1-1,C,7,9617
2021-1-1,D,7,6074
2021-1-1,A,8,23284
2021-1-1,B,8,11642
2021-1-1,C,8,9617
2021-1-1,D,8,6074
2021-1-1,A,9,23284
2021-1-1,B,9,11642
2021-1-1,C,9,9617
2021-1-1,D,9,6074
2021-1-1,A,10,23284
2021-1-1,B,10,11642
2021-1-1,C,10,9617
2021-1-1,D,10,6074
2021-1-1,A,11,20374
2021-1-1,B,11,10187
2021-1-1,C,11,8415
2021-1-1,D,11,5315
2021-1-1,A,12,20374
2021-1-1,B,12,10187
2021-1-1,C,12,8415
2021-1-1,D,12,5315
2021-1-1,A,13,20374
2021-1-1,B,13,10187
2021-1-1,C,13,8415
2021-1-1,D,13,5315
2021-1-1,A,14,20374
2021-1-1,B,14,10187
2021-1-1,C,14,8415
2021-1-1,D,14,5315
2021-1-1,A,15,20374
2021-1-1,B,15,10187
2021-1-1,C,15,8415
2021-1-1,D,15,5315
2021-1-1,A,16,20374
2021-1-1,B,16,10187
2021-1-1,C,16,8415
2021-1-1,D,16,5315
2021-1-1,A,17,20374
2021-1-1,B,17,10187
2021-1-1,C,17,8415
2021-1-1,D,17,5315
2021-1-1,A,18,20374
2021-1-1,B,18,10187
2021-1-1,C,18,8415
2021-1-1,D,18,5315
2021-1-1,A,19,17463
2021-1-1,B,19,8732
2021-1-1,C,19,7213
2021-1-1,D,19,4556
2021-1-1,A,20,17463
2021-1-1,B,20,8732
